Genome,Scheme,ST,dnaE,pntA,pyrC,recA,tnaA,gyrB,dtdS
GCF_006382825.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_008271865.fna.gz,vparahaemolyticus,-,,,397,61,23,4,424
GCF_009738025.fna.gz,vparahaemolyticus,424,170,117,18,75,124,224,139
GCF_006382965.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_009389955.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390095.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390675.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390795.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382975.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009991435.fna.gz,vparahaemolyticus,1737,20,7,395,15,24,25,13
GCF_009991675.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006378635.fna.gz,vparahaemolyticus,-,265,156,123,3,26,369,29
GCF_006378835.fna.gz,vparahaemolyticus,-,28,4,80,31,179,23,230
GCF_006383225.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_008039175.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_008039345.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_006377475.fna.gz,vparahaemolyticus,-,44,28,268,,193,106,126
GCF_006377545.fna.gz,vparahaemolyticus,-,62,50,5,,234,82,5
GCF_006378735.fna.gz,vparahaemolyticus,-,162,11,158,,51,399,150
GCF_006382635.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_008039365.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_009665495.fna.gz,vparahaemolyticus,1727,28,45,23,31,24,17,195
GCF_009763405.fna.gz,vparahaemolyticus,2517,47,3,465,53,26,139,19
GCF_006383155.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_009389965.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390105.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390695.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390805.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_006382645.fna.gz,vparahaemolyticus,595,80,114,224,25,55,153,243
GCF_006382755.fna.gz,vparahaemolyticus,2083,117,128,203,386,24,526,415
GCF_006383245.fna.gz,vparahaemolyticus,478,185,26,18,73,37,226,19
GCF_009991445.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009991685.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_006378655.fna.gz,vparahaemolyticus,1829,254,248,116,72,262,113,181
GCF_006378855.fna.gz,vparahaemolyticus,-,152,99,,17,235,141,76
GCF_006383265.fna.gz,vparahaemolyticus,1817,47,60,135,31,13,464,19
GCF_008039215.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_008039385.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_006377495.fna.gz,vparahaemolyticus,-,131,26,,31,146,487,35
GCF_006377565.fna.gz,vparahaemolyticus,799,28,63,187,82,1,4,88
GCF_006378765.fna.gz,vparahaemolyticus,-,131,26,,31,146,487,35
GCF_006382785.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_008039855.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009734325.fna.gz,vparahaemolyticus,413,47,28,46,166,121,8,19
GCF_009763425.fna.gz,vparahaemolyticus,1815,291,4,50,45,23,49,49
GCF_009390005.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390605.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390725.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382695.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382765.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_006383285.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006378675.fna.gz,vparahaemolyticus,1798,28,50,3,99,251,125,431
GCF_006378865.fna.gz,vparahaemolyticus,1841,79,23,410,299,23,72,89
GCF_006517795.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_008039225.fna.gz,vparahaemolyticus,-,19,2,104,25,26,199,47
GCF_008039905.fna.gz,vparahaemolyticus,-,44,23,3,239,,,19
GCF_006383165.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_009647755.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_009763025.fna.gz,vparahaemolyticus,2290,31,31,35,60,23,313,171
GCF_006378705.fna.gz,vparahaemolyticus,1583,42,26,85,62,20,1,241
GCF_006378875.fna.gz,vparahaemolyticus,864,3,2,245,61,2,230,268
GCF_008039295.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009991625.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009991725.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009390055.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390615.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390755.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_006377195.fna.gz,vparahaemolyticus,-,31,4,145,67,1,371,13
GCF_006377225.fna.gz,vparahaemolyticus,-,,,52,,178,,29
GCF_006378785.fna.gz,vparahaemolyticus,505,5,45,190,38,94,40,209
GCF_006382705.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382735.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_006382855.fna.gz,vparahaemolyticus,933,31,83,3,259,23,367,332
GCF_008693625.fna.gz,vparahaemolyticus,-,26,4,32,56,51,16,157
GCF_006378715.fna.gz,vparahaemolyticus,2157,397,46,7,123,26,195,66
GCF_006378935.fna.gz,vparahaemolyticus,852,253,31,11,141,51,106,112
GCF_008039325.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009649015.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009763165.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_008039245.fna.gz,vparahaemolyticus,1140,19,136,11,295,13,295,223
GCF_006383215.fna.gz,vparahaemolyticus,624,3,4,214,73,33,4,13
GCF_009390025.fna.gz,vparahaemolyticus,1844,14,4,37,276,13,30,78
GCF_009390115.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_012957025.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_014057775.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_014396885.fna.gz,vparahaemolyticus,-,61,41,296,,94,,437
GCF_008693745.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009193065.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009389775.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009390195.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390305.fna.gz,vparahaemolyticus,-,14,4,37,,13,30,78
GCF_009390415.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009391075.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009763545.fna.gz,vparahaemolyticus,162,47,50,37,53,26,58,19
GCF_009763605.fna.gz,vparahaemolyticus,-,94,3,166,31,,114,105
GCF_009859285.fna.gz,vparahaemolyticus,-,44,28,268,,193,106,126
GCF_009991805.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009991855.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_010692765.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_012274985.fna.gz,vparahaemolyticus,110,17,44,28,52,36,57,23
GCF_012955625.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012955735.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956215.fna.gz,vparahaemolyticus,2311,72,18,75,108,9,96,80
GCF_012956405.fna.gz,vparahaemolyticus,180,89,57,11,15,57,105,89
GCF_013393845.fna.gz,vparahaemolyticus,2150,3,182,11,392,66,403,353
GCF_014057875.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_014705665.fna.gz,vparahaemolyticus,933,31,83,3,259,23,367,332
GCF_009390205.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390325.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390455.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009763445.fna.gz,vparahaemolyticus,1727,28,45,23,31,24,17,195
GCF_009763505.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009763525.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009763565.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_009764075.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009859365.fna.gz,vparahaemolyticus,413,47,28,46,166,121,8,19
GCF_009991755.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009991825.fna.gz,vparahaemolyticus,199,22,8,19,17,14,28,13
GCF_009991885.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_010692775.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_012275005.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_012955635.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012955745.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956225.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956425.fna.gz,vparahaemolyticus,180,89,57,11,15,57,105,89
GCF_013393865.fna.gz,vparahaemolyticus,2521,42,291,466,417,33,32,513
GCF_014057895.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_014769095.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_009389755.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390155.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390265.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390385.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009391035.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009763645.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009859325.fna.gz,vparahaemolyticus,-,44,28,268,,193,106,126
GCF_012956145.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956325.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_013369315.fna.gz,vparahaemolyticus,-,26,95,32,13,2,16,8
GCF_014057815.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_014525115.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_009390945.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009391115.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_012955655.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012955765.fna.gz,vparahaemolyticus,2315,89,57,11,108,57,105,89
GCF_012956265.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956445.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_013393885.fna.gz,vparahaemolyticus,1798,28,50,3,99,251,125,431
GCF_014057915.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009389765.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009390165.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390295.fna.gz,vparahaemolyticus,-,14,4,37,,13,30,78
GCF_009390395.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009391045.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009764055.fna.gz,vparahaemolyticus,679,19,54,96,4,175,318,13
GCF_009859345.fna.gz,vparahaemolyticus,413,47,28,46,166,121,8,19
GCF_012956165.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956355.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_013390705.fna.gz,vparahaemolyticus,-,137,,11,,68,404,12
GCF_014057825.fna.gz,vparahaemolyticus,-,14,4,37,,13,30,78
GCF_014525225.fna.gz,vparahaemolyticus,1719,356,244,343,30,23,481,419
GCF_009390965.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_012276655.fna.gz,vparahaemolyticus,970,27,50,54,61,44,324,343
GCF_012955665.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956085.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956285.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956505.fna.gz,vparahaemolyticus,-,28,4,224,,9,4,
GCF_013420895.fna.gz,vparahaemolyticus,283,27,54,124,127,37,84,139
GCF_014057925.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009390215.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390355.fna.gz,vparahaemolyticus,-,14,4,37,,13,30,78
GCF_009390985.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009763625.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_009859305.fna.gz,vparahaemolyticus,-,35,23,186,356,27,20,34
GCF_012956125.fna.gz,vparahaemolyticus,180,89,57,11,15,57,105,89
GCF_012956315.fna.gz,vparahaemolyticus,2293,42,111,61,123,24,319,205
GCF_013085265.fna.gz,vparahaemolyticus,2428,5,56,96,98,287,106,500
GCF_014057805.fna.gz,vparahaemolyticus,1844,14,4,37,276,13,30,78
GCF_014396905.fna.gz,vparahaemolyticus,-,,26,109,,,25,
GCF_009390865.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390915.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009391015.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009991745.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_009991765.fna.gz,vparahaemolyticus,64,40,4,36,3,29,39,18
GCF_009991845.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_010671575.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_012274865.fna.gz,vparahaemolyticus,2518,28,23,5,180,26,368,512
GCF_012845845.fna.gz,vparahaemolyticus,423,51,60,8,77,24,4,67
GCF_012955725.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956105.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956305.fna.gz,vparahaemolyticus,2293,42,111,61,123,24,319,205
GCF_012956535.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_014057765.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_014217295.fna.gz,vparahaemolyticus,1743,112,26,8,61,57,8,425
GCF_009390255.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390375.fna.gz,vparahaemolyticus,1844,14,4,37,276,13,30,78
GCF_009390825.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390855.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390895.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_009390925.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_009391085.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_012956175.fna.gz,vparahaemolyticus,163,72,18,75,70,9,96,80
GCF_012956385.fna.gz,vparahaemolyticus,180,89,57,11,15,57,105,89
GCF_013391065.fna.gz,vparahaemolyticus,-,137,,,,68,404,12
GCF_014057865.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_014525355.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_014833015.fna.gz,vparahaemolyticus,1167,55,54,337,31,46,15,55
GCF_014833075.fna.gz,vparahaemolyticus,1167,55,54,337,31,46,15,55
GCF_014833085.fna.gz,vparahaemolyticus,-,28,63,263,82,1,4,19
GCF_014833115.fna.gz,vparahaemolyticus,539,31,26,206,198,18,299,19
GCF_014833125.fna.gz,vparahaemolyticus,-,28,63,263,82,1,4,19
GCF_014836305.fna.gz,vparahaemolyticus,1525,111,20,171,22,24,5,34
GCF_015680975.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_015779285.fna.gz,vparahaemolyticus,413,47,28,46,166,121,8,19
GCF_016132465.fna.gz,vparahaemolyticus,363,12,21,11,81,73,180,19
GCF_016132485.fna.gz,vparahaemolyticus,2429,35,128,450,31,226,499,499
GCF_016403045.fna.gz,vparahaemolyticus,2515,31,56,96,25,287,316,500
GCF_016834555.fna.gz,vparahaemolyticus,428,171,4,62,113,23,222,126
GCF_017313485.fna.gz,vparahaemolyticus,1152,3,206,335,192,2,16,363
GCF_017313525.fna.gz,vparahaemolyticus,236,114,66,54,61,85,100,122
GCF_017313545.fna.gz,vparahaemolyticus,1807,148,119,46,171,23,227,74
GCF_017313565.fna.gz,vparahaemolyticus,1041,26,31,231,285,222,290,191
GCF_017313585.fna.gz,vparahaemolyticus,-,35,61,413,178,213,131,242
GCF_017313595.fna.gz,vparahaemolyticus,1152,3,206,335,192,2,16,363
GCF_017313655.fna.gz,vparahaemolyticus,1152,3,206,335,192,2,16,363
GCF_017313685.fna.gz,vparahaemolyticus,1041,26,31,231,285,222,290,191
GCF_017313735.fna.gz,vparahaemolyticus,248,5,18,3,61,90,88,19
GCF_017313825.fna.gz,vparahaemolyticus,248,5,18,3,61,90,88,19
GCF_017562225.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_017562235.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_017562285.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_017562305.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_017562315.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_017562335.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_017562355.fna.gz,vparahaemolyticus,199,22,8,19,17,14,28,13
GCF_017562385.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_017562405.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_018135645.fna.gz,vparahaemolyticus,165,76,53,45,31,13,88,13
GCF_018799025.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019270675.fna.gz,vparahaemolyticus,-,170,117,18,,124,224,139
GCF_019270695.fna.gz,vparahaemolyticus,-,12,56,263,,,104,35
GCF_019270795.fna.gz,vparahaemolyticus,918,29,4,18,75,46,339,123
GCF_019270875.fna.gz,vparahaemolyticus,1087,83,181,289,62,57,49,70
GCF_019271015.fna.gz,vparahaemolyticus,-,,,46,17,235,337,34
GCF_019271055.fna.gz,vparahaemolyticus,1055,7,6,18,62,221,236,306
GCF_019271095.fna.gz,vparahaemolyticus,-,34,4,,25,26,153,50
GCF_019271115.fna.gz,vparahaemolyticus,2110,12,21,46,81,73,180,19
GCF_019271135.fna.gz,vparahaemolyticus,-,13,26,319,31,26,,69
GCF_019271175.fna.gz,vparahaemolyticus,-,28,26,123,3,61,120,138
GCF_019271215.fna.gz,vparahaemolyticus,865,35,80,3,101,57,138,116
GCF_019271255.fna.gz,vparahaemolyticus,-,44,26,11,35,,136,
GCF_019271475.fna.gz,vparahaemolyticus,-,,,,,,,
GCF_019271575.fna.gz,vparahaemolyticus,-,26,26,218,19,153,153,236
GCF_019271895.fna.gz,vparahaemolyticus,1817,47,60,135,31,13,464,19
GCF_019271975.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272095.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272815.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_903986745.fna.gz,vparahaemolyticus,-,232,56,11,,47,56,23
GCF_019270995.fna.gz,vparahaemolyticus,2195,264,184,38,67,132,364,330
GCF_019271035.fna.gz,vparahaemolyticus,-,207,4,97,103,99,,398
GCF_019271075.fna.gz,vparahaemolyticus,1343,95,74,45,211,70,34,242
GCF_019271155.fna.gz,vparahaemolyticus,672,1,29,4,19,22,147,4
GCF_019271195.fna.gz,vparahaemolyticus,-,28,63,,155,1,4,88
GCF_019271235.fna.gz,vparahaemolyticus,-,69,110,71,69,24,92,114
GCF_019271295.fna.gz,vparahaemolyticus,-,42,161,37,123,24,7,55
GCF_019271535.fna.gz,vparahaemolyticus,-,,,,,,,
GCF_019271675.fna.gz,vparahaemolyticus,-,,35,,180,162,198,29
GCF_019271915.fna.gz,vparahaemolyticus,-,170,117,18,,124,224,139
GCF_019271995.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272355.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272715.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272755.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_903986635.fna.gz,vparahaemolyticus,-,35,49,203,63,26,50,27
GCF_019272155.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272835.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_903986865.fna.gz,vparahaemolyticus,-,232,56,11,,36,56,23
GCF_000877415.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_019271755.fna.gz,vparahaemolyticus,-,28,26,123,3,61,120,138
GCF_019271935.fna.gz,vparahaemolyticus,-,5,46,260,89,62,,29
GCF_019272015.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272405.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019273755.fna.gz,vparahaemolyticus,499,22,99,186,75,26,254,205
GCF_000454225.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_019272855.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_000491835.fna.gz,vparahaemolyticus,1015,100,30,37,65,51,386,148
GCF_019272895.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272235.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272875.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_000328405.fna.gz,vparahaemolyticus,88,11,26,48,43,26,48,48
GCF_019271875.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019271955.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272035.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272495.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_900460415.fna.gz,vparahaemolyticus,331,147,26,18,127,23,181,69
GCF_000430405.fna.gz,vparahaemolyticus,23,17,15,31,13,26,16,36
GCF_000430425.fna.gz,vparahaemolyticus,799,28,63,187,82,1,4,88
GCF_000491815.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_019273695.fna.gz,vparahaemolyticus,-,26,26,171,98,57,201,68
GCF_000491175.fna.gz,vparahaemolyticus,-,137,50,,13,,33,
GCF_019272055.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272575.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_900460535.fna.gz,vparahaemolyticus,1,5,17,25,27,10,52,13
GCF_000568495.fna.gz,vparahaemolyticus,471,175,130,17,168,73,22,201
GCF_000500105.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_019272775.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272795.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_900682685.fna.gz,vparahaemolyticus,-,,18,,,,301,
GCF_000491795.fna.gz,vparahaemolyticus,563,198,26,46,205,23,14,29
GCF_019273715.fna.gz,vparahaemolyticus,-,3,114,39,36,26,40,41
GCF_000491155.fna.gz,vparahaemolyticus,262,105,19,12,123,47,156,127
GCF_019272075.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_019272675.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_902385965.fna.gz,vparahaemolyticus,65,39,3,37,27,30,9,39
GCF_000489875.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_019273735.fna.gz,vparahaemolyticus,-,27,26,18,,86,226,306
GCF_000489215.fna.gz,vparahaemolyticus,994,60,28,226,210,159,104,126
GCF_000454185.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000490515.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000490535.fna.gz,vparahaemolyticus,-,3,29,4,19,22,4,
GCF_000491135.fna.gz,vparahaemolyticus,69,43,37,40,31,33,41,42
GCF_000491775.fna.gz,vparahaemolyticus,-,28,61,49,,38,28,46
GCF_000491855.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000877495.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000489855.fna.gz,vparahaemolyticus,527,43,37,40,107,33,41,42
GCF_000522065.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000491755.fna.gz,vparahaemolyticus,326,28,61,49,44,38,28,46
GCF_000490485.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000877475.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000491115.fna.gz,vparahaemolyticus,69,43,37,40,31,33,41,42
GCF_000489835.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000500365.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000490465.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000877425.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000491095.fna.gz,vparahaemolyticus,-,43,37,,31,33,41,
GCF_000489195.fna.gz,vparahaemolyticus,-,97,142,229,150,79,,243
GCF_000491735.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_000491875.fna.gz,vparahaemolyticus,-,41,36,39,,32,40,41
GCF_000489815.fna.gz,vparahaemolyticus,332,14,4,37,141,13,30,78
GCF_000510585.fna.gz,vparahaemolyticus,479,186,4,18,181,132,252,29
GCF_000493715.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000877535.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000491075.fna.gz,vparahaemolyticus,69,43,37,40,31,33,41,42
GCF_000491715.fna.gz,vparahaemolyticus,610,146,73,11,19,2,180,88
GCF_000491895.fna.gz,vparahaemolyticus,-,41,36,39,,32,40,41
GCF_000489795.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000521825.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000490445.fna.gz,vparahaemolyticus,91,35,29,5,16,42,4,50
GCF_000877485.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000877555.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
