Genome,Scheme,ST,abcZ,bglA,cat,dapE,dat,ldh,lhkA,CC,Lineage
GCF_008754955.fna.gz,lmonocytogenes,310,12,1,4,14,3,124,4,CC87,I
GCF_008754965.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008754995.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755005.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755035.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755055.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755065.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755075.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755115.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755125.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755155.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755175.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755185.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755215.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008755985.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_008807195.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_008807215.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_008807235.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_008807255.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_008807275.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_008807435.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_008807455.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_008807475.fna.gz,lmonocytogenes,580,6,37,6,4,1,4,1,CC9,II
GCF_008807495.fna.gz,lmonocytogenes,580,6,37,6,4,1,4,1,CC9,II
GCF_008807515.fna.gz,lmonocytogenes,580,6,37,6,4,1,4,1,CC9,II
GCF_008807535.fna.gz,lmonocytogenes,1413,5,5,10,6,5,26,48,CC739,II
GCF_008807555.fna.gz,lmonocytogenes,517,11,3,4,26,3,1,4,CC517,I
GCF_008807575.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_008807595.fna.gz,lmonocytogenes,580,6,37,6,4,1,4,1,CC9,II
GCF_008807615.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_008807635.fna.gz,lmonocytogenes,580,6,37,6,4,1,4,1,CC9,II
GCF_008807875.fna.gz,lmonocytogenes,262,38,31,42,47,28,108,25,CC262,III
GCF_008807895.fna.gz,lmonocytogenes,21,7,7,3,10,5,6,1,CC21,II
GCF_008807915.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_008807935.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_008807955.fna.gz,lmonocytogenes,219,1,2,9,1,2,5,3,CC4,I
GCF_008807975.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361185.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361215.fna.gz,lmonocytogenes,262,38,31,42,47,28,108,25,CC262,III
GCF_009361225.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361255.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361265.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361275.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361315.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361325.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361335.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361375.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361395.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361415.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361435.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361445.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361465.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009361475.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361515.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361525.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361535.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361565.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361595.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361615.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361625.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009361645.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009371935.fna.gz,lmonocytogenes,2638,430,183,298,544,89,555,26,ST2638,III
GCF_009377335.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_009648595.fna.gz,lmonocytogenes,382,1,51,11,13,2,5,5,CC183,I
GCF_009648615.fna.gz,lmonocytogenes,382,1,51,11,13,2,5,5,CC183,I
GCF_009648635.fna.gz,lmonocytogenes,382,1,51,11,13,2,5,5,CC183,I
GCF_009648655.fna.gz,lmonocytogenes,382,1,51,11,13,2,5,5,CC183,I
GCF_009648675.fna.gz,lmonocytogenes,382,1,51,11,13,2,5,5,CC183,I
GCF_009648695.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_009664735.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_009664755.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_009664775.fna.gz,lmonocytogenes,122,6,5,6,4,1,62,1,CC9,II
GCF_009730615.fna.gz,lmonocytogenes,412,7,52,8,6,1,2,1,CC412,II
GCF_009730635.fna.gz,lmonocytogenes,412,7,52,8,6,1,2,1,CC412,II
GCF_009755305.fna.gz,lmonocytogenes,429,11,1,11,38,2,39,5,CC429,I
GCF_009755315.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_009755345.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_009755365.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009755405.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009755415.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_009755425.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_009755465.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_009755485.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_009755495.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_009755525.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_009755535.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009755545.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_009788155.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_009788165.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788195.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_009788205.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_009788235.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_009788255.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_009788265.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_009788285.fna.gz,lmonocytogenes,35,6,5,6,20,1,4,1,CC9,II
GCF_009788295.fna.gz,lmonocytogenes,35,6,5,6,20,1,4,1,CC9,II
GCF_009788335.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_009788345.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_009788365.fna.gz,lmonocytogenes,35,6,5,6,20,1,4,1,CC9,II
GCF_009788395.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009788405.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_009788435.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_009788445.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009788475.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_009788485.fna.gz,lmonocytogenes,new_alleles,~12,1,4,14,3,39,4,,
GCF_009788495.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_009788535.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009788555.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_009788575.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788585.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788595.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788635.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788655.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788665.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788675.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788715.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788735.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788755.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788765.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788775.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788785.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_009788835.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_009788845.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_009788855.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_009788885.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_009788915.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_009788945.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_009788985.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_009807365.fna.gz,lmonocytogenes,288,34,39,11,15,3,1,2,CC288,I
GCF_009807375.fna.gz,lmonocytogenes,new_alleles,260,73,~247,320,211,473,227,,
GCF_009807385.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_009807455.fna.gz,lmonocytogenes,101,7,15,15,8,6,14,9,CC101,II
GCF_009807465.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_009807645.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_009807665.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_009807715.fna.gz,lmonocytogenes,37,5,7,3,5,1,8,6,CC37,II
GCF_009866885.fna.gz,lmonocytogenes,35,6,5,6,20,1,4,1,CC9,II
GCF_009866905.fna.gz,lmonocytogenes,290,1,1,11,11,2,11,5,CC2,I
GCF_009914905.fna.gz,lmonocytogenes,1262,227,1,1,1,3,1,3,CC1,I
GCF_009914925.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_009916185.fna.gz,lmonocytogenes,299,22,33,21,24,17,31,13,CC131,III
GCF_009916205.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_009916245.fna.gz,lmonocytogenes,299,22,33,21,24,17,31,13,CC131,III
GCF_009916285.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_010442835.fna.gz,lmonocytogenes,1538,5,8,5,7,6,65,1,CC7,II
GCF_010443035.fna.gz,lmonocytogenes,201,19,17,22,25,15,79,12,CC69,III
GCF_011140345.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_011548415.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_011548475.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_011548535.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_011881755.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_011881785.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_011881795.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_011881825.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_011881835.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_011881865.fna.gz,lmonocytogenes,26,5,10,8,21,6,2,1,CC26,II
GCF_011881875.fna.gz,lmonocytogenes,16,5,6,2,7,5,2,1,CC8,II
GCF_011881885.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_011881925.fna.gz,lmonocytogenes,20,17,13,3,6,5,7,1,CC20,II
GCF_011881945.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_011881955.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_011881985.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_011882005.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_011882015.fna.gz,lmonocytogenes,1454,11,9,12,3,3,1,210,CC489,I
GCF_011882025.fna.gz,lmonocytogenes,425,7,6,15,8,6,2,14,CC90,II
GCF_011882065.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_011882085.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_011882105.fna.gz,lmonocytogenes,155,7,10,16,7,5,2,1,CC155,II
GCF_011882125.fna.gz,lmonocytogenes,14,8,6,13,6,5,2,1,CC14,II
GCF_012063475.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063505.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063515.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063525.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063565.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063585.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063605.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063625.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063645.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063655.fna.gz,lmonocytogenes,199,9,10,15,6,8,26,1,CC199,II
GCF_012063675.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063705.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_012063725.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_012063735.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063765.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_012063775.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063805.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063825.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063835.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063865.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063885.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_012063895.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063915.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063925.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063965.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012063985.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064005.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064015.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064045.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064055.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064085.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064105.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_012064115.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064125.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_012064165.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064185.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064195.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064225.fna.gz,lmonocytogenes,371,7,6,56,6,1,2,1,CC11,II
GCF_012064245.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064265.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_012064285.fna.gz,lmonocytogenes,371,7,6,56,6,1,2,1,CC11,II
GCF_012064295.fna.gz,lmonocytogenes,321,5,6,8,62,6,7,34,CC321,II
GCF_013122235.fna.gz,lmonocytogenes,218,3,1,1,16,7,1,4,CC218,I
GCF_013137935.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013177375.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013177395.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013177415.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013282645.fna.gz,lmonocytogenes,1779,44,71,294,48,41,285,194,CC1779,III
GCF_013282665.fna.gz,lmonocytogenes,562,83,19,91,100,58,178,72,CC562,IV
GCF_013282685.fna.gz,lmonocytogenes,101,7,15,15,8,6,14,9,CC101,II
GCF_013282705.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013302955.fna.gz,lmonocytogenes,1247,5,6,2,265,5,3,1,CC8,II
GCF_013344505.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_013389395.fna.gz,lmonocytogenes,204,5,7,6,4,5,4,1,CC204,II
GCF_013395095.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_013402045.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402055.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402095.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402105.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402125.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402135.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402145.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402195.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402215.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402225.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402245.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402255.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402265.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402315.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402325.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402355.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402365.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402375.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402415.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402435.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402445.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402455.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402465.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402515.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402535.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402545.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402565.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402575.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402615.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402635.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402655.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402665.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402675.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402705.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013402735.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013415135.fna.gz,lmonocytogenes,451,7,5,10,21,1,4,1,CC11,II
GCF_013432175.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013432185.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432215.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_013432255.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_013432275.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432295.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_013432305.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_013432315.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432345.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_013432375.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_013432395.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432405.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432425.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432435.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432475.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432485.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_013432495.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432505.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_013432525.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432575.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432585.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432595.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432605.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432615.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432675.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432685.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432695.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432705.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432735.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013432775.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_013432785.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013432815.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_013432825.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432835.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432875.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_013432885.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_013432915.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013432925.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_013432935.fna.gz,lmonocytogenes,145,1,1,11,11,2,12,5,CC2,I
GCF_013432975.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432985.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013432995.fna.gz,lmonocytogenes,191,11,1,36,2,3,1,7,CC191,I
GCF_013433035.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_013433045.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_013433075.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_013433095.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_013433105.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_013433135.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
