Genome,Scheme,ST,glp,gmk,ilv,pta,pur,pyc,tpi,clonal_complex
GCF_016483175.fna.gz,bcereus,734,25,10,22,165,83,23,11,
GCF_016483205.fna.gz,bcereus,new_alleles,26,21,~104,68,~27,32,18,
GCF_016483245.fna.gz,bcereus,487,83,26,143,133,91,41,30,
GCF_016483265.fna.gz,bcereus,new_alleles,108,139,104,~15,221,92,79,
GCF_016483285.fna.gz,bcereus,12,15,7,7,2,7,10,13,ST-23 complex
GCF_016483295.fna.gz,bcereus,new_ST,8,10,22,15,35,9,11,
GCF_016483305.fna.gz,bcereus,56,15,7,7,2,7,26,13,ST-23 complex
GCF_016483345.fna.gz,bcereus,886,43,50,35,125,70,41,30,ST-111 complex
GCF_016483355.fna.gz,bcereus,12,15,7,7,2,7,10,13,ST-23 complex
GCF_016483385.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_016483395.fna.gz,bcereus,new_alleles,134,13,274,253,84,44,~35,
GCF_016483425.fna.gz,bcereus,12,15,7,7,2,7,10,13,ST-23 complex
GCF_016483445.fna.gz,bcereus,278,83,26,35,42,39,71,30,ST-111 complex
GCF_016483455.fna.gz,bcereus,2009,43,26,78,42,334,71,264,
GCF_016483465.fna.gz,bcereus,56,15,7,7,2,7,26,13,ST-23 complex
GCF_016483475.fna.gz,bcereus,new_alleles,~221,~177,~303,~15,~234,~202,~128,
GCF_016483525.fna.gz,bcereus,new_alleles,~229,5,271,240,281,183,190,
GCF_016483545.fna.gz,bcereus,new_alleles,43,~26,35,40,39,41,30,
GCF_016483555.fna.gz,bcereus,new_alleles,~118,35,~171,22,96,20,26,
GCF_016483575.fna.gz,bcereus,new_ST,87,26,78,90,273,220,30,
GCF_016483605.fna.gz,bcereus,new_alleles,87,~26,78,90,273,41,30,
GCF_016483615.fna.gz,bcereus,23,15,7,7,2,5,8,13,ST-23 complex
GCF_016483645.fna.gz,bcereus,434,26,21,126,104,78,32,18,
GCF_016483665.fna.gz,bcereus,428,108,51,130,121,109,92,79,
GCF_016483685.fna.gz,bcereus,new_alleles,274,115,227,200,195,170,~163,
GCF_016483705.fna.gz,bcereus,new_alleles,110,56,~419,188,64,96,26,
GCF_016483725.fna.gz,bcereus,616,81,53,117,71,113,93,80,
GCF_016483765.fna.gz,bcereus,1009,16,6,170,9,4,7,21,
GCF_016483785.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_016483835.fna.gz,bcereus,new_alleles,285,8,~283,~45,58,87,7,
GCF_016483925.fna.gz,bcereus,new_alleles,14,~8,48,45,58,51,7,
GCF_016580425.fna.gz,bcereus,1119,34,1,71,16,18,33,24,ST-365 complex
GCF_016632305.fna.gz,bcereus,new_ST,117,9,151,18,12,14,7,
GCF_016727405.fna.gz,bcereus,1949,33,8,44,19,2,17,7,
GCF_016757815.fna.gz,bcereus,365,34,1,32,1,18,33,24,ST-365 complex
GCF_016757835.fna.gz,bcereus,365,34,1,32,1,18,33,24,ST-365 complex
GCF_016757865.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_016757895.fna.gz,bcereus,365,34,1,32,1,18,33,24,ST-365 complex
GCF_016757935.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_016758415.fna.gz,bcereus,365,34,1,32,1,18,33,24,ST-365 complex
GCF_016758475.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_016758515.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_016758535.fna.gz,bcereus,1284,247,1,83,1,239,37,43,
GCF_016758545.fna.gz,bcereus,2096,91,8,14,11,2,36,7,
GCF_016758575.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_016758645.fna.gz,bcereus,163,44,1,32,16,18,33,24,ST-365 complex
GCF_016774535.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_016774555.fna.gz,bcereus,1595,208,8,48,45,58,87,7,
GCF_016774575.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_016900175.fna.gz,bcereus,19,12,8,9,11,11,12,8,
GCF_016917795.fna.gz,bcereus,1265,15,7,7,2,93,26,13,ST-23 complex
GCF_017356065.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_018221445.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_018221485.fna.gz,bcereus,1119,34,1,71,16,18,33,24,ST-365 complex
GCF_018221505.fna.gz,bcereus,267,79,52,32,70,55,37,24,
GCF_018221525.fna.gz,bcereus,new_ST,14,8,13,30,2,17,7,
GCF_018221535.fna.gz,bcereus,12,15,7,7,2,7,10,13,ST-23 complex
GCF_018221565.fna.gz,bcereus,1431,13,8,8,11,9,12,10,ST-142 complex
GCF_018309125.fna.gz,bcereus,new_alleles,56,1,~358,~150,51,37,24,
GCF_018309145.fna.gz,bcereus,new_alleles,3,23,~122,116,38,43,99,
GCF_018309165.fna.gz,bcereus,new_alleles,13,8,9,28,4,12,~10,
GCF_018499925.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_018884185.fna.gz,bcereus,760,15,6,29,46,4,8,21,ST-97 complex
GCF_900094775.fna.gz,bcereus,2107,71,41,66,356,42,61,49,
GCF_900094845.fna.gz,bcereus,794,173,110,203,94,42,153,138,
GCF_900094905.fna.gz,bcereus,1007,222,36,236,231,54,179,32,
GCF_900095125.fna.gz,bcereus,616,81,53,117,71,113,93,80,
GCF_900155895.fna.gz,bcereus,2105,155,95,266,166,327,192,127,
GCF_900176805.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_900176915.fna.gz,bcereus,1263,34,1,124,16,18,33,89,ST-365 complex
GCF_900176935.fna.gz,bcereus,1236,13,8,9,11,9,12,7,ST-142 complex
GCF_900176955.fna.gz,bcereus,73,13,8,9,14,9,12,31,ST-142 complex
GCF_900176965.fna.gz,bcereus,1223,55,1,83,1,230,37,43,
GCF_900176975.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_900176995.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_900177025.fna.gz,bcereus,745,12,8,9,192,11,12,10,
GCF_900445335.fna.gz,bcereus,23,15,7,7,2,5,8,13,ST-23 complex
GCF_900445355.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_900445375.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_900750765.fna.gz,bcereus,2320,14,8,148,28,4,12,23,
GCF_903545225.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_905221555.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_905221595.fna.gz,bcereus,74,42,27,37,41,40,42,32,
