Genome,Scheme,ST,aspA,glnA,gltA,glyA,pgm,tkt,uncA,clonal_complex
GCF_002178545.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_002178575.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178585.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002178595.fna.gz,cjejuni,-,7,2,-,53,11,3,1,
GCF_002178635.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_002178655.fna.gz,cjejuni,460,24,30,2,2,89,59,6,ST-460 complex
GCF_002178665.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178675.fna.gz,cjejuni,460,24,30,2,2,89,59,6,ST-460 complex
GCF_002178725.fna.gz,cjejuni,924,7,2,5,53,11,3,1,ST-607 complex
GCF_002178735.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002178775.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178795.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002178805.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_002178815.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002178915.fna.gz,cjejuni,new_alleles,2,1,12,~3,2,1,5,
GCF_002179005.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002179015.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_002179045.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_002179075.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002179085.fna.gz,cjejuni,538,4,7,10,4,42,25,1,ST-45 complex
GCF_002179115.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_002179125.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_002179155.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002179165.fna.gz,cjejuni,new_alleles,203,267,228,443,~493,~475,~455,
GCF_002179195.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_002179215.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002179235.fna.gz,cjejuni,2521,150,4,1,2,7,1,5,ST-48 complex
GCF_002179245.fna.gz,cjejuni,922,1,1,2,83,2,3,6,
GCF_002179265.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002179285.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002179315.fna.gz,cjejuni,-,9,2,-,62,4,-,17,
GCF_002179335.fna.gz,cjejuni,440,24,17,2,10,23,3,12,ST-443 complex
GCF_002179345.fna.gz,cjejuni,924,7,2,5,53,11,3,1,ST-607 complex
GCF_002179375.fna.gz,cjejuni,9506,7,1,12,3,2,1,6,ST-21 complex
GCF_002179395.fna.gz,cjejuni,929,9,2,4,62,4,5,17,ST-257 complex
GCF_002179415.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002179425.fna.gz,cjejuni,460,24,30,2,2,89,59,6,ST-460 complex
GCF_002179455.fna.gz,cjejuni,982,2,1,2,3,2,1,5,ST-21 complex
GCF_002179475.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002179485.fna.gz,cjejuni,1219,7,17,5,10,11,61,1,
GCF_002179615.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002179635.fna.gz,cjejuni,-,-,-,-,~521,~328,-,-,
GCF_002197895.fna.gz,cjejuni,683,35,43,9,5,121,46,21,
GCF_002197915.fna.gz,cjejuni,8853,18,420,22,18,205,17,6,
GCF_002197935.fna.gz,cjejuni,793,64,33,68,98,1,17,16,
GCF_002209025.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_002209045.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_002209065.fna.gz,cjejuni,583,4,7,10,4,42,51,1,ST-45 complex
GCF_002214785.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_002224325.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_002224385.fna.gz,cjejuni,604,1,2,3,27,5,9,3,ST-42 complex
GCF_002234455.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002407125.fna.gz,cjejuni,222,2,21,5,2,59,1,5,ST-206 complex
GCF_002587105.fna.gz,cjejuni,883,2,17,2,3,2,1,5,ST-21 complex
GCF_002587225.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_002804365.fna.gz,cjejuni,1398,2,4,5,93,11,3,6,ST-658 complex
GCF_002804375.fna.gz,cjejuni,new_alleles,9,~36,5,2,10,11,26,
GCF_002804405.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804425.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804445.fna.gz,cjejuni,6091,2,4,5,25,11,203,5,
GCF_002804455.fna.gz,cjejuni,8752,7,17,5,724,11,3,6,ST-353 complex
GCF_002804485.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804495.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002804525.fna.gz,cjejuni,660,1,3,6,4,54,91,3,ST-22 complex
GCF_002804545.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804555.fna.gz,cjejuni,8749,3,1,5,10,11,3,6,ST-49 complex
GCF_002804585.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002804595.fna.gz,cjejuni,463,24,17,2,15,23,12,12,ST-443 complex
GCF_002804625.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002804635.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804645.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002804655.fna.gz,cjejuni,1962,55,172,21,49,125,83,51,
GCF_002804705.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_002804715.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_002804735.fna.gz,cjejuni,332,62,4,5,2,74,1,5,ST-48 complex
GCF_002804745.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804785.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_002804795.fna.gz,cjejuni,463,24,17,2,15,23,12,12,ST-443 complex
GCF_002804805.fna.gz,cjejuni,8751,462,4,5,10,11,3,46,
GCF_002804815.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804865.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_002804875.fna.gz,cjejuni,9084,2,17,5,10,482,3,6,ST-353 complex
GCF_002804885.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002804895.fna.gz,cjejuni,463,24,17,2,15,23,12,12,ST-443 complex
GCF_002804945.fna.gz,cjejuni,8748,7,21,5,2,4,61,44,
GCF_002804955.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002804965.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002804975.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805025.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805045.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805065.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805075.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805105.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805115.fna.gz,cjejuni,1071,83,84,5,10,11,3,46,
GCF_002805145.fna.gz,cjejuni,1359,2,1,5,10,2,1,5,ST-21 complex
GCF_002805155.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805185.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805195.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805225.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805235.fna.gz,cjejuni,1359,2,1,5,10,2,1,5,ST-21 complex
GCF_002805265.fna.gz,cjejuni,463,24,17,2,15,23,12,12,ST-443 complex
GCF_002805275.fna.gz,cjejuni,6257,7,2,2,2,11,5,6,ST-354 complex
GCF_002805305.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805315.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_002805345.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002805365.fna.gz,cjejuni,463,24,17,2,15,23,12,12,ST-443 complex
GCF_002805385.fna.gz,cjejuni,463,24,17,2,15,23,12,12,ST-443 complex
GCF_002805395.fna.gz,cjejuni,1398,2,4,5,93,11,3,6,ST-658 complex
GCF_002805445.fna.gz,cjejuni,1775,10,27,59,19,10,5,7,ST-403 complex
GCF_002805465.fna.gz,cjejuni,3997,1,2,3,4,457,9,3,ST-42 complex
GCF_002805475.fna.gz,cjejuni,8747,8,17,5,2,11,12,6,ST-354 complex
GCF_002805485.fna.gz,cjejuni,8748,7,21,5,2,4,61,44,
GCF_002805525.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_002805545.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_002805555.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002805565.fna.gz,cjejuni,469,1,2,3,4,5,9,6,ST-42 complex
GCF_002805605.fna.gz,cjejuni,8746,55,21,2,10,11,37,6,
GCF_002805625.fna.gz,cjejuni,8745,2,4,52,93,11,3,6,ST-658 complex
GCF_002805635.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002805665.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_002805675.fna.gz,cjejuni,8745,2,4,52,93,11,3,6,ST-658 complex
GCF_002805755.fna.gz,cjejuni,2042,2,2,42,4,90,25,8,
GCF_002805765.fna.gz,cjejuni,1398,2,4,5,93,11,3,6,ST-658 complex
GCF_002805805.fna.gz,cjejuni,8744,2,4,5,2,882,1,5,ST-48 complex
GCF_002805815.fna.gz,cjejuni,8744,2,4,5,2,882,1,5,ST-48 complex
GCF_002805845.fna.gz,cjejuni,8744,2,4,5,2,882,1,5,ST-48 complex
GCF_002805865.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_002805885.fna.gz,cjejuni,660,1,3,6,4,54,91,3,ST-22 complex
GCF_002805905.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_002805915.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002805945.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805955.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002805985.fna.gz,cjejuni,3852,8,2,2,2,11,345,6,ST-354 complex
GCF_002805995.fna.gz,cjejuni,2304,2,4,5,25,11,3,5,
GCF_002806025.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_002806035.fna.gz,cjejuni,2304,2,4,5,25,11,3,5,
GCF_002806055.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_002806085.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_002806105.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806115.fna.gz,cjejuni,1723,8,17,2,2,11,12,6,ST-354 complex
GCF_002806125.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806165.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806185.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_002806205.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_002806225.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_002806245.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_002806265.fna.gz,cjejuni,8742,9,2,2,10,10,3,1,ST-464 complex
GCF_002806285.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002806295.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_002806325.fna.gz,cjejuni,1522,7,84,5,2,11,203,6,ST-353 complex
GCF_002806335.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_002806365.fna.gz,cjejuni,791,7,97,5,2,135,68,26,
GCF_002806375.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806405.fna.gz,cjejuni,9083,7,17,571,2,89,710,6,ST-353 complex
GCF_002806415.fna.gz,cjejuni,9082,7,669,5,2,11,1,5,
GCF_002806445.fna.gz,cjejuni,9081,2,1,52,10,11,1,5,ST-21 complex
GCF_002806455.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806465.fna.gz,cjejuni,607,8,2,5,53,11,3,1,ST-607 complex
GCF_002806475.fna.gz,cjejuni,660,1,3,6,4,54,91,3,ST-22 complex
GCF_002806525.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806535.fna.gz,cjejuni,8741,2,17,5,10,11,3,6,ST-353 complex
GCF_002806565.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002806575.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002806605.fna.gz,cjejuni,2086,2,4,5,25,11,1,5,ST-206 complex
GCF_002806625.fna.gz,cjejuni,2289,83,84,1,10,11,3,46,
GCF_002834105.fna.gz,cjejuni,2282,2,84,5,68,2,1,5,ST-206 complex
GCF_002834185.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_002834205.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_002895835.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_002895865.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_002895875.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_002914605.fna.gz,cjejuni,995,2,4,84,105,126,25,57,
GCF_002914625.fna.gz,cjejuni,-,-,4,84,105,126,25,-,
GCF_002964885.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_002964895.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_002964945.fna.gz,cjejuni,3647,9,25,2,10,431,3,6,ST-52 complex
GCF_003030185.fna.gz,cjejuni,6238,8,2,27,53,11,3,1,ST-607 complex
GCF_003048115.fna.gz,cjejuni,985,10,27,89,19,10,132,7,ST-403 complex
GCF_003048165.fna.gz,cjejuni,660,1,3,6,4,54,91,3,ST-22 complex
GCF_003048185.fna.gz,cjejuni,587,1,2,42,4,90,25,8,ST-362 complex
GCF_003060725.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_003060745.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_003060765.fna.gz,cjejuni,5843,1,1,5,48,394,88,233,
GCF_003060785.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_003095715.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003095725.fna.gz,cjejuni,-,-,-,52,2,89,282,5,
GCF_003095755.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003095775.fna.gz,cjejuni,1911,7,84,5,10,119,178,26,
GCF_003095795.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003095815.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_003095835.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_003095855.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_003095875.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_003095895.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_003095915.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_003095935.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003095955.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_003095975.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003095995.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_003368045.fna.gz,cjejuni,137,4,7,10,4,42,7,1,ST-45 complex
GCF_003368065.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003368085.fna.gz,cjejuni,230,4,7,41,4,42,7,1,ST-45 complex
GCF_003368105.fna.gz,cjejuni,5673,18,22,22,18,410,103,16,
GCF_003368125.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_003368145.fna.gz,cjejuni,52,9,25,2,10,22,3,6,ST-52 complex
GCF_003368165.fna.gz,cjejuni,5671,7,17,351,15,23,3,12,ST-443 complex
GCF_003368185.fna.gz,cjejuni,3140,33,2,2,2,10,3,1,ST-464 complex
GCF_003368205.fna.gz,cjejuni,1332,2,1,29,28,58,25,58,ST-1332 complex
GCF_003368225.fna.gz,cjejuni,1972,7,71,5,62,11,67,1,
GCF_003368245.fna.gz,cjejuni,508,1,6,60,24,12,28,1,ST-508 complex
GCF_003574945.fna.gz,cjejuni,356,14,17,5,2,11,3,6,ST-353 complex
GCF_003950275.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_003959725.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003959745.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003959755.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003959765.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003959815.fna.gz,cjejuni,6228,18,89,77,98,122,86,16,ST-952 complex
GCF_003959835.fna.gz,cjejuni,7809,2,59,4,27,13,25,23,ST-1034 complex
GCF_003959845.fna.gz,cjejuni,991,37,52,57,26,107,29,23,ST-692 complex
GCF_003959855.fna.gz,cjejuni,704,2,29,4,27,10,25,57,
GCF_003959865.fna.gz,cjejuni,995,2,4,84,105,126,25,57,
GCF_003959915.fna.gz,cjejuni,995,2,4,84,105,126,25,57,
GCF_003959935.fna.gz,cjejuni,1030,37,4,4,48,13,25,57,
GCF_003959945.fna.gz,cjejuni,2314,2,61,4,64,332,7,23,ST-1034 complex
GCF_003959965.fna.gz,cjejuni,1299,2,61,4,134,74,57,23,ST-1034 complex
GCF_003959975.fna.gz,cjejuni,2314,2,61,4,64,332,7,23,ST-1034 complex
GCF_003959995.fna.gz,cjejuni,2839,37,52,4,131,380,99,23,
GCF_003960035.fna.gz,cjejuni,2354,37,4,4,48,13,25,23,
GCF_003960045.fna.gz,cjejuni,2314,2,61,4,64,332,7,23,ST-1034 complex
GCF_003960075.fna.gz,cjejuni,995,2,4,84,105,126,25,57,
GCF_003960085.fna.gz,cjejuni,2839,37,52,4,131,380,99,23,
GCF_003960095.fna.gz,cjejuni,991,37,52,57,26,107,29,23,ST-692 complex
GCF_003960135.fna.gz,cjejuni,2839,37,52,4,131,380,99,23,
GCF_003960145.fna.gz,cjejuni,2314,2,61,4,64,332,7,23,ST-1034 complex
GCF_003960175.fna.gz,cjejuni,7842,37,52,57,26,380,29,23,ST-692 complex
GCF_003960185.fna.gz,cjejuni,692,37,52,57,26,127,29,23,ST-692 complex
GCF_003960215.fna.gz,cjejuni,692,37,52,57,26,127,29,23,ST-692 complex
GCF_003960225.fna.gz,cjejuni,4776,37,52,4,26,129,29,23,ST-692 complex
GCF_003960235.fna.gz,cjejuni,7896,64,162,499,100,194,101,60,
GCF_003960275.fna.gz,cjejuni,7895,64,584,77,100,138,101,16,
GCF_003960285.fna.gz,cjejuni,5543,18,22,22,18,194,17,16,
GCF_003960295.fna.gz,cjejuni,8816,64,105,85,98,652,54,60,
GCF_003960305.fna.gz,cjejuni,7851,64,22,71,100,134,187,60,
GCF_003960345.fna.gz,cjejuni,7893,64,22,68,100,134,593,518,
GCF_003960375.fna.gz,cjejuni,7837,64,22,212,97,122,301,16,
GCF_003960385.fna.gz,cjejuni,7893,64,22,68,100,134,593,518,
GCF_003960395.fna.gz,cjejuni,3218,64,70,22,98,123,86,16,
GCF_003960435.fna.gz,cjejuni,7837,64,22,212,97,122,301,16,
GCF_003960445.fna.gz,cjejuni,7849,64,22,310,100,134,94,16,
GCF_003960475.fna.gz,cjejuni,7848,258,174,474,193,241,314,131,
GCF_003960485.fna.gz,cjejuni,6427,64,95,20,100,514,101,60,
GCF_003960495.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003960535.fna.gz,cjejuni,7889,258,174,497,193,574,615,131,
GCF_003960545.fna.gz,cjejuni,4875,64,70,22,103,123,86,16,
GCF_003960575.fna.gz,cjejuni,7847,64,288,203,189,134,187,60,
GCF_003960585.fna.gz,cjejuni,7839,64,89,85,189,134,101,16,
GCF_003960595.fna.gz,cjejuni,7882,64,583,22,111,122,303,16,
GCF_003960625.fna.gz,cjejuni,5543,18,22,22,18,194,17,16,
GCF_003960645.fna.gz,cjejuni,7841,270,98,5,397,511,596,304,
GCF_003960655.fna.gz,cjejuni,7840,396,162,476,100,194,101,60,
GCF_003960665.fna.gz,cjejuni,1483,64,22,20,100,134,94,16,
GCF_003960705.fna.gz,cjejuni,7831,64,22,85,98,652,270,60,
GCF_003960735.fna.gz,cjejuni,7837,64,22,212,97,122,301,16,
GCF_003960745.fna.gz,cjejuni,7836,258,174,207,193,336,314,229,
GCF_003960755.fna.gz,cjejuni,1319,64,33,20,111,134,103,16,
GCF_003960775.fna.gz,cjejuni,7835,64,22,20,100,134,101,171,
GCF_003960795.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003960835.fna.gz,cjejuni,7833,64,22,203,100,134,103,16,
GCF_003960845.fna.gz,cjejuni,7834,18,89,77,98,122,101,16,ST-952 complex
GCF_003960855.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003960865.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003960895.fna.gz,cjejuni,6460,64,33,22,98,94,17,16,
GCF_003960935.fna.gz,cjejuni,4565,270,98,5,397,511,420,304,
GCF_003960945.fna.gz,cjejuni,1752,18,22,20,98,122,254,16,ST-952 complex
GCF_003960955.fna.gz,cjejuni,7832,64,89,20,77,122,103,16,
GCF_003960995.fna.gz,cjejuni,7830,64,22,121,100,134,270,16,
GCF_003961005.fna.gz,cjejuni,1483,64,22,20,100,134,94,16,
GCF_003961035.fna.gz,cjejuni,7820,64,288,203,189,134,94,60,
GCF_003961045.fna.gz,cjejuni,7826,18,235,475,18,134,285,6,
GCF_003961055.fna.gz,cjejuni,7808,18,22,77,98,122,101,16,ST-952 complex
GCF_003961085.fna.gz,cjejuni,7825,258,174,474,193,753,595,131,
GCF_003961095.fna.gz,cjejuni,7822,64,288,71,98,652,94,16,
GCF_003961135.fna.gz,cjejuni,6589,64,89,20,100,134,101,16,
GCF_003961145.fna.gz,cjejuni,7821,64,22,31,100,134,103,16,
GCF_003961175.fna.gz,cjejuni,7820,64,288,203,189,134,94,60,
GCF_003961185.fna.gz,cjejuni,4875,64,70,22,103,123,86,16,
GCF_003961215.fna.gz,cjejuni,7819,64,133,71,98,652,94,16,
GCF_003961225.fna.gz,cjejuni,7813,64,89,20,98,134,593,16,
GCF_003961235.fna.gz,cjejuni,7815,64,105,203,100,134,94,16,
GCF_003961245.fna.gz,cjejuni,7813,64,89,20,98,134,593,16,
GCF_003961275.fna.gz,cjejuni,8808,76,22,212,614,134,54,560,
GCF_003961315.fna.gz,cjejuni,7811,64,133,203,142,134,160,60,
GCF_003961325.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003961335.fna.gz,cjejuni,7808,18,22,77,98,122,101,16,ST-952 complex
GCF_003961365.fna.gz,cjejuni,6518,216,165,311,100,124,86,390,
GCF_003961385.fna.gz,cjejuni,7808,18,22,77,98,122,101,16,ST-952 complex
GCF_003961415.fna.gz,cjejuni,7806,64,22,203,100,134,591,16,
GCF_003961425.fna.gz,cjejuni,7805,64,22,85,98,134,101,16,
GCF_003961435.fna.gz,cjejuni,7804,258,174,207,193,336,590,131,
GCF_003961465.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003961495.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003961505.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003961515.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003961535.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_003961565.fna.gz,cjejuni,995,2,4,84,105,126,25,57,
GCF_003961595.fna.gz,cjejuni,995,2,4,84,105,126,25,57,
GCF_003961605.fna.gz,cjejuni,704,2,29,4,27,10,25,57,
GCF_003961615.fna.gz,cjejuni,2314,2,61,4,64,332,7,23,ST-1034 complex
GCF_003961625.fna.gz,cjejuni,991,37,52,57,26,107,29,23,ST-692 complex
GCF_003961665.fna.gz,cjejuni,7844,2,4,4,27,126,597,23,
GCF_003961695.fna.gz,cjejuni,1030,37,4,4,48,13,25,57,
GCF_003961705.fna.gz,cjejuni,693,2,29,4,48,13,24,57,
GCF_003961715.fna.gz,cjejuni,693,2,29,4,48,13,24,57,
GCF_003961735.fna.gz,cjejuni,7843,18,22,72,18,410,103,16,
GCF_003961745.fna.gz,cjejuni,1299,2,61,4,134,74,57,23,ST-1034 complex
GCF_003961795.fna.gz,cjejuni,4776,37,52,4,26,129,29,23,ST-692 complex
GCF_003961815.fna.gz,cjejuni,6788,2,1,4,28,58,29,58,ST-1332 complex
GCF_003961825.fna.gz,cjejuni,2839,37,52,4,131,380,99,23,
GCF_003961835.fna.gz,cjejuni,7850,64,22,71,189,134,118,60,
GCF_003961855.fna.gz,cjejuni,1282,64,162,20,100,194,101,60,
GCF_003961875.fna.gz,cjejuni,7891,27,99,498,104,774,285,31,
GCF_003961905.fna.gz,cjejuni,6428,344,70,22,98,123,86,16,
GCF_003961935.fna.gz,cjejuni,4875,64,70,22,103,123,86,16,
GCF_003961945.fna.gz,cjejuni,6390,64,133,20,100,134,160,16,
GCF_003961955.fna.gz,cjejuni,7881,76,70,496,104,116,109,31,
GCF_003961965.fna.gz,cjejuni,1539,64,22,22,100,242,204,16,
GCF_003962015.fna.gz,cjejuni,6460,64,33,22,98,94,17,16,
GCF_003962025.fna.gz,cjejuni,6590,64,95,77,98,134,94,16,
GCF_003962045.fna.gz,cjejuni,7831,64,22,85,98,652,270,60,
GCF_003962055.fna.gz,cjejuni,1539,64,22,22,100,242,204,16,
GCF_003962075.fna.gz,cjejuni,7828,64,19,20,98,754,101,16,
GCF_003962115.fna.gz,cjejuni,6460,64,33,22,98,94,17,16,
